AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
0,2,17,640,104
1,3,23,1066,130
1,3,26,847,150
1,3,23,585,88
1,1,25,1066,130
1,1,24,962,318
0,4,13,640,291
1,3,23,696,5
1,4,26,559,226
1,3,27,626,357
1,2,24,55,86
1,2,24,1066,329
1,4,23,1091,165
1,4,24,1196,36
1,3,17,847,88
0,1,11,640,296
1,3,24,450,289
1,2,11,1170,10
1,4,23,450,274
1,4,28,755,58
0,4,15,640,5
1,4,13,249,334
1,3,26,649,130
1,3,23,325,250
1,3,30,450,150
1,3,24,962,318
0,1,13,640,41
1,4,25,853,23
0,4,14,640,306
0,4,28,1207,41
1,3,23,54,86
1,1,15,1365,276
0,2,7,640,220
1,3,32,74,227
0,2,21,640,111
0,4,23,640,5
0,2,11,640,111
1,2,23,249,307
1,4,25,974,353
0,1,23,640,296
0,4,23,922,104
1,3,26,1170,307
1,4,19,1037,88
1,3,28,74,289
1,2,23,101,38
0,1,23,640,320
0,3,24,1279,274
1,3,26,450,177
1,4,15,450,88
1,4,16,112,5
1,4,13,873,5
1,3,27,840,349
1,3,25,306,318
1,1,15,853,250
1,3,31,936,307
1,4,24,1066,41
1,3,18,280,272
1,4,25,248,38
0,5,9,640,216
1,2,23,1196,25
0,4,23,640,197
1,3,27,307,289
0,1,7,640,139
1,3,23,696,36
1,4,13,720,252
1,4,25,217,130
0,1,30,637,216
0,2,6,640,38
0,3,11,640,5
1,3,24,1066,98
1,1,24,695,25
1,4,25,167,130
0,3,15,921,114
0,4,23,640,149
1,4,32,450,5
1,4,17,1365,36
1,4,24,1053,289
1,2,7,54,38
0,4,18,640,194
0,3,30,640,111
0,3,24,640,111
1,4,13,847,252
1,4,27,808,307
0,3,14,640,38
1,3,23,1066,86
1,3,25,755,38
1,3,32,737,192
1,3,29,211,318
1,4,16,14,289
0,1,10,640,291
0,5,8,640,291
0,4,13,640,320
1,3,29,55,130
1,4,13,495,38
0,1,11,1251,260
1,3,28,74,258
0,1,11,640,41
0,3,13,640,5
1,2,23,407,89
1,4,24,846,358
1,4,17,173,320
0,2,13,640,216
1,3,35,361,38
1,4,13,852,320
0,5,8,640,5
0,4,19,640,111
0,3,13,640,168
1,4,31,449,25
1,3,24,1066,86
1,3,36,1311,239
1,3,23,559,25
1,3,23,1066,98
1,3,11,847,25
0,1,8,640,104
1,1,32,450,358
0,2,9,640,104
0,1,13,640,197
0,3,13,640,168
0,2,13,640,5
1,4,29,1105,89
1,3,29,155,130
1,4,28,298,274
1,4,27,450,274
0,3,13,640,216
0,3,13,640,63
1,3,23,1346,130
1,4,24,1040,318
0,3,15,640,220
1,4,23,112,89
0,3,13,640,63
0,3,15,636,38
1,3,23,847,226
0,4,29,640,111
0,4,17,640,38
1,3,37,980,204
1,4,23,74,48
1,2,14,450,274
0,3,17,640,111
1,3,24,197,318
1,4,17,503,132
1,4,13,307,38
1,3,27,381,276
1,3,27,1265,131
1,4,24,438,131
0,2,9,640,104
0,1,11,640,104
1,3,25,74,48
1,4,23,450,114
1,4,27,479,88
1,4,23,1066,130
0,3,16,639,68
1,4,24,1066,86
0,3,19,640,86
1,1,13,892,38
0,4,17,640,291
1,3,25,45,185
0,3,24,640,220
1,3,13,847,38
1,3,23,862,38
0,4,14,640,296
0,3,13,640,216
0,3,25,632,220
0,3,27,640,86
0,3,31,640,216
0,4,13,640,139
1,3,24,450,307
0,1,10,640,5
1,2,24,1169,307
1,4,19,847,88
1,4,14,1158,48
0,5,9,640,5
1,4,31,559,226
1,4,24,518,250
1,4,23,450,165
1,4,17,1066,38
1,4,21,450,37
1,3,24,463,289
1,4,25,559,250
1,4,30,450,274
0,5,7,640,104
1,3,15,450,130
1,3,32,329,320
0,5,9,640,167
1,4,25,1291,89
1,4,23,948,6
0,4,13,640,297
0,5,10,640,104
1,4,32,1276,38
1,3,25,1254,38
1,4,31,737,226
0,5,24,640,306
0,4,31,640,216
0,4,16,640,139
0,1,15,637,38
1,1,14,450,38
0,2,14,640,216
1,1,15,737,187
1,4,13,139,289
1,3,24,905,320
0,4,13,637,63
1,3,23,125,36
1,3,14,407,10
1,3,23,1105,6
1,4,11,847,130
1,4,28,7,318
0,5,23,640,111
0,4,23,640,104
0,4,15,640,167
1,4,24,450,307
1,4,25,847,5
1,1,14,980,5
1,2,11,450,88
0,4,30,640,296
1,4,24,407,103
0,1,25,640,296
1,4,23,987,342
0,4,29,1271,262
0,2,11,640,220
0,3,13,640,104
1,3,36,96,88
1,3,25,450,165
1,3,28,923,318
0,2,13,640,5
0,2,24,640,216
1,3,25,504,226
1,2,8,1066,324
0,5,3,640,104
0,4,15,640,104
1,4,23,847,36
0,4,24,637,104
1,4,27,44,165
1,4,29,847,38
0,4,25,1103,139
0,4,22,640,216
1,4,26,847,358
1,4,30,696,25
1,1,26,781,178
0,3,25,640,63
0,4,31,640,63
0,3,14,640,38
1,3,24,1070,289
0,3,15,640,38
0,4,13,640,296
1,4,24,1136,137
1,3,13,1360,82
0,4,18,922,111
0,1,8,640,14
0,3,13,640,104
0,5,1,640,104
1,3,25,696,239
0,3,32,632,265
1,4,17,73,364
1,2,23,1066,86
1,3,19,617,84
1,4,23,307,38
0,3,35,637,111
1,3,23,450,38
0,2,13,640,111
0,3,13,640,220
1,2,24,355,329
0,2,8,640,104
1,3,13,1197,307
1,4,27,438,289
1,3,23,847,5
1,4,24,74,320
0,4,27,640,5
1,3,21,1066,165
0,4,13,640,139
1,3,28,1197,36
1,4,13,847,276
0,4,21,632,139
0,1,24,639,296
1,4,13,696,316
1,3,23,847,5
1,2,35,847,5
1,2,22,847,289
1,3,17,1066,98
1,4,25,696,252
1,3,27,755,320
1,4,28,380,5
1,3,22,962,318
1,1,23,450,119
1,1,25,450,289
1,4,23,1298,185
1,4,30,962,194
1,2,25,847,89
0,4,23,640,306
0,2,4,640,38
0,5,7,640,104
1,4,28,249,5
0,4,13,640,63
0,4,13,640,291
1,2,27,1066,86
0,5,8,640,111
1,2,36,1255,38
0,3,19,640,5
1,3,14,450,131
1,2,21,450,274
1,4,28,456,6
0,1,23,640,104
0,4,24,945,318
1,2,23,1049,38
0,4,15,640,111
0,4,13,640,5
0,2,16,640,220
0,4,25,640,216
1,3,23,61,130
1,3,18,411,48
0,5,8,640,197
0,3,27,945,104
1,3,23,365,250
1,2,15,847,226
1,4,25,495,329
0,1,13,640,104
0,3,13,640,216
0,4,13,640,296
1,4,23,176,289
1,4,17,847,5
1,1,6,438,38
1,4,23,1244,318
0,1,10,1251,186
0,4,13,640,296
0,4,23,640,220
1,2,21,847,358
0,1,11,640,68
0,4,25,1059,5
0,2,21,640,111
0,3,13,632,104
0,2,11,640,104
1,2,24,948,86
1,4,24,450,334
0,1,23,640,41
1,3,37,1241,318
0,2,11,640,111
1,4,23,280,130
0,3,30,632,332
0,2,16,640,324
0,4,14,640,296
1,4,21,1365,204
0,1,23,640,5
1,4,14,1066,329
1,4,19,248,307
0,3,13,640,104
1,1,23,307,98
0,3,15,640,68
0,3,13,1251,59
1,4,23,1242,281
1,3,24,450,130
0,2,19,640,111
1,2,17,1065,318
0,3,29,632,38
1,4,25,1066,86
0,2,13,637,41
1,4,24,1254,204
1,2,25,1066,86
0,4,21,640,38
0,4,13,640,139
1,4,23,847,38
1,2,24,450,88
1,3,24,696,36
1,2,23,1066,86
1,1,16,1105,98
0,2,14,640,216
1,3,13,495,166
0,1,11,640,139
1,4,13,559,38
1,4,28,166,307
1,2,13,74,227
1,3,25,763,317
0,3,15,640,220
0,5,8,640,291
1,4,24,450,318
0,3,16,640,5
0,4,13,794,186
1,4,27,450,25
0,2,9,640,216
1,2,25,463,114
1,4,24,1036,38
1,3,23,738,193
1,3,24,881,131
1,1,11,1066,289
0,4,14,640,296
1,3,25,1066,88
0,4,23,640,291
0,3,27,640,104
1,4,25,74,258
1,1,37,962,318
1,2,24,846,150
1,3,24,982,202
0,3,14,637,5
1,4,24,305,259
1,2,11,1066,336
1,3,13,450,98
1,1,32,450,38
0,2,23,637,5
1,4,23,307,38
0,3,13,637,104
1,4,27,935,338
1,4,27,962,318
0,1,23,640,318
1,4,23,1066,98
1,4,23,774,318
1,3,31,450,165
1,4,13,96,307
0,5,10,640,195
1,4,24,125,249
0,1,13,640,104
0,1,8,1271,211
1,4,27,857,130
1,4,21,307,98
1,3,27,1291,250
0,2,11,640,63
1,4,27,1066,274
1,1,19,450,329
1,3,30,962,5
0,2,27,640,63
1,4,13,880,38
1,4,20,438,289
0,1,23,640,5
1,1,11,1352,318
1,3,25,450,259
1,2,23,504,289
0,2,7,640,318
0,3,14,640,38
0,3,15,637,346
0,5,3,640,104
1,4,36,847,5
1,1,28,1066,88
0,1,9,640,296
1,4,24,1170,329
1,3,17,307,130
1,4,23,475,274
1,4,28,179,36
1,3,23,1066,130
1,3,13,847,5
1,3,26,306,250
0,4,13,640,216
0,1,8,640,139
1,4,27,407,89
0,1,11,1251,260
1,4,23,471,36
1,3,26,1066,353
1,3,23,1263,26
1,4,30,438,353
0,3,13,640,104
1,1,23,450,130
1,1,16,1177,320
1,3,26,538,128
0,5,24,640,38
0,1,11,632,14
0,2,9,640,195
1,1,13,1082,38
1,3,17,856,131
1,4,24,1066,289
1,4,25,307,289
0,2,13,637,41
1,3,26,847,5
0,5,10,640,104
1,4,24,450,274
0,1,10,1251,263
1,2,31,1158,75
0,4,20,640,296
0,3,13,640,41
0,2,23,640,63
1,3,23,74,48
1,3,29,155,307
1,4,24,1066,98
0,4,29,640,63
1,4,29,450,36
1,1,17,365,5
1,2,30,339,349
1,3,24,740,353
1,3,26,482,318
1,4,27,1066,86
1,3,24,422,130
0,3,15,640,38
0,4,28,636,139
1,4,27,334,210
1,3,26,1066,86
1,4,23,167,307
1,3,26,1083,98
0,3,13,640,38
0,5,23,640,5
1,4,24,1138,289
1,3,24,962,318
1,2,24,847,5
0,3,13,640,104
0,3,13,640,5
0,3,13,640,216
1,3,19,1255,38
0,4,13,632,111
1,4,29,1197,36
1,1,15,554,114
0,5,8,640,104
1,3,13,450,36
1,4,14,265,38
1,4,23,307,130
0,3,29,637,220
0,1,11,640,63
1,4,11,847,250
0,5,8,640,38
1,1,13,847,239
0,2,11,640,5
0,3,32,640,216
0,4,13,640,38
0,3,16,1251,186
1,3,24,227,25
1,4,24,450,204
1,3,30,1170,307
0,1,29,640,332
0,5,23,640,104
1,3,24,372,38
0,2,9,640,104
0,2,9,640,5
0,4,14,640,104
1,4,23,125,349
0,5,8,640,216
1,3,13,266,38
0,3,13,640,104
1,2,13,980,38
0,2,13,640,104
1,4,25,696,25
0,1,15,640,104
1,4,23,57,150
1,3,13,450,98
1,4,28,696,276
1,3,23,1066,86
1,3,29,955,226
0,4,15,640,111
0,3,11,1271,260
0,4,29,637,139
0,2,8,640,5
0,1,16,640,139
1,3,24,1066,289
1,3,24,450,274
1,3,37,167,307
1,4,11,847,38
0,3,32,632,86
1,4,11,716,252
1,3,26,1104,6
0,3,13,640,68
1,2,23,1365,307
0,1,15,640,296
1,3,13,1186,250
1,3,27,763,318
0,3,13,640,347
0,3,26,639,265
1,3,34,559,88
0,4,13,640,38
1,4,28,979,318
1,2,24,890,25
0,3,13,640,63
1,4,24,1056,274
1,4,23,1066,88
0,1,23,640,216
0,4,24,639,41
0,4,13,632,111
0,2,9,1250,260
0,4,17,640,104
0,2,23,640,220
1,4,23,1066,38
0,1,9,640,216
1,4,19,720,153
1,2,14,811,130
1,2,11,1319,86
1,4,27,847,38
0,1,13,640,63
1,3,28,1319,2
0,4,24,640,111
0,1,23,640,139
1,3,26,407,353
1,4,33,1229,329
0,4,14,640,5
1,3,28,179,38
0,4,13,640,111
0,3,13,640,104
0,4,25,640,5
1,3,25,980,263
1,1,14,862,38
1,4,26,450,38
1,3,23,811,320
1,4,16,1066,77
0,5,9,640,38
1,3,24,1066,38
1,3,23,124,25
1,1,24,1035,38
1,3,13,1197,36
1,3,23,847,88
1,3,26,74,38
1,3,21,1197,36
0,1,4,640,139
1,2,11,125,307
1,3,26,450,307
1,3,26,696,307
1,3,35,307,89
1,3,27,1235,289
0,3,36,640,216
1,1,16,696,114
1,4,24,111,307
1,3,13,490,364
1,4,23,1197,36
1,3,19,74,330
0,3,16,640,38
1,3,15,1170,307
0,5,10,640,104
0,3,30,637,111
1,1,15,696,318
1,3,25,559,38
0,4,15,640,38
1,3,24,176,307
0,2,9,1250,260
1,3,13,317,58
1,4,19,249,38
1,4,20,1336,41
0,4,23,640,296
0,3,21,639,104
0,3,13,637,41
1,3,11,686,38
1,2,11,1066,5
0,4,13,640,38
1,4,25,1291,320
0,3,30,637,38
0,2,23,640,216
0,5,8,640,5
0,1,11,640,291
1,4,26,862,88
0,3,35,1251,260
1,1,11,1066,89
1,3,11,450,38
0,4,14,640,291
1,3,24,450,307
1,3,23,1066,38
0,3,11,640,332
0,1,11,640,5
1,3,13,125,307
1,4,25,737,226
0,4,15,640,324
1,3,27,956,36
0,4,25,1207,41
0,4,26,632,296
1,4,23,696,250
0,2,8,640,111
0,4,13,640,104
0,1,10,639,38
1,4,31,1254,250
0,4,23,640,220
0,4,13,640,220
1,4,13,68,353
0,5,27,640,68
0,3,24,1251,59
1,3,28,882,5
1,1,14,1105,98
0,1,24,640,104
0,1,14,640,139
1,3,15,953,250
0,4,13,640,5
0,2,27,640,111
0,3,14,640,216
1,3,26,1065,88
1,3,23,1066,353
1,4,25,1110,128
1,4,23,1014,137
1,4,13,307,307
1,4,26,1066,98
1,4,26,988,318
0,3,27,640,5
1,3,23,463,36
1,3,23,1066,320
1,3,23,1343,318
0,3,30,640,5
1,4,23,824,329
1,3,24,1291,165
1,3,23,74,38
1,3,23,402,274
0,1,23,640,63
0,1,13,640,306
0,4,27,640,86
0,2,3,640,63
1,3,13,538,259
0,1,24,640,111
1,4,24,1066,274
1,3,24,125,114
0,4,23,1251,211
0,3,13,640,111
1,3,24,383,307
1,3,24,962,5
0,4,30,640,111
0,3,24,640,41
1,3,26,745,358
0,3,11,637,5
1,2,11,1066,130
0,2,24,640,216
0,4,14,640,63
0,1,23,640,296
0,1,21,632,296
1,4,19,458,166
1,1,28,847,5
0,3,24,640,216
1,3,23,811,353
1,3,25,249,98
1,4,29,450,274
1,3,23,432,226
1,3,25,129,28
1,4,24,1066,38
1,4,25,1066,353
1,1,24,1236,132
1,4,23,450,329
0,2,24,640,216
1,4,25,1079,130
1,4,28,249,38
1,4,19,720,318
0,4,13,640,86
1,3,25,1066,289
1,3,13,847,364
1,3,15,980,268
0,3,13,640,167
0,4,26,640,195
0,3,24,640,38
1,3,13,559,346
0,4,14,640,104
0,5,16,640,5
0,3,14,640,104
0,3,13,637,220
0,3,25,632,111
1,4,16,696,114
0,1,8,1251,211
1,2,23,696,276
0,2,15,640,5
1,3,30,980,38
0,4,13,640,86
1,4,27,1232,130
1,3,11,1066,86
1,3,24,1149,38
1,4,19,1037,353
1,3,30,1170,307
1,4,25,401,274
1,3,24,1040,130
0,5,3,640,38
0,4,19,1251,211
1,4,22,847,226
1,3,30,156,353
0,4,24,922,104
1,4,15,847,88
1,3,23,518,131
1,1,23,74,329
0,3,30,632,111
0,4,27,1251,297
1,3,26,211,318
1,4,30,842,318
1,3,24,1066,38
0,2,10,640,5
0,3,24,640,220
0,3,13,640,111
0,1,10,640,139
1,4,21,1255,259
1,4,24,450,274
0,1,11,640,5
1,4,27,307,98
1,1,7,1365,38
1,1,17,737,166
1,3,26,930,318
1,4,24,1066,38
1,1,11,450,276
0,4,13,640,296
1,3,21,890,98
1,4,28,74,69
1,1,29,924,318
1,1,25,1236,259
1,3,23,847,358
1,3,25,1066,86
1,3,25,549,130
1,3,24,777,226
1,4,13,665,330
0,1,18,640,291
1,3,26,125,36
1,1,27,1066,321
1,3,16,74,70
1,4,27,1066,165
0,5,1,640,38
1,4,23,847,358
0,4,14,640,139
1,4,27,1066,250
1,4,17,438,318
0,4,29,640,104
1,2,26,962,318
1,4,13,96,25
1,1,23,450,307
0,3,29,1251,260
1,4,23,450,163
1,2,23,307,88
0,2,11,640,41
1,3,26,450,318
1,3,23,847,5
0,4,19,640,38
0,2,15,640,63
1,2,24,869,5
1,3,24,696,36
1,4,23,260,38
0,1,13,640,306
0,4,17,640,5
1,4,26,962,36
0,3,13,640,5
1,3,32,450,274
1,3,15,1066,38
1,3,11,721,274
0,2,8,640,41
0,5,7,637,14
0,4,25,640,38
1,4,36,847,88
0,2,8,640,111
0,3,14,640,5
0,3,29,640,5
1,4,26,549,250
1,3,24,1255,38
0,1,23,640,139
0,2,9,640,68
1,1,24,1077,320
1,4,24,865,130
0,4,11,1251,297
1,1,18,1066,130
1,1,7,54,25
0,3,13,637,61
1,1,14,891,5
0,2,9,640,216
0,4,13,637,38
1,3,25,249,38
1,4,24,1066,165
1,3,13,561,274
1,2,25,1066,329
0,5,25,640,86
1,3,21,559,36
1,1,24,1066,178
0,3,14,640,104
1,4,23,249,307
1,4,23,1197,36
1,3,23,1236,204
1,3,24,549,241
0,2,11,640,220
0,4,15,640,296
1,3,23,1005,354
1,4,26,269,38
1,4,21,180,259
1,2,26,847,88
0,1,10,640,104
0,4,13,637,63
1,3,23,1114,329
0,3,19,637,167
1,4,29,847,150
1,4,13,214,131
1,4,21,737,131
1,3,16,847,130
1,3,17,847,5
0,4,15,640,139
0,4,15,640,104
1,2,15,810,353
1,4,24,74,231
0,3,29,640,220
1,4,23,407,98
0,2,23,640,216
1,4,23,450,274
0,1,13,640,104
0,4,17,640,324
0,3,15,640,38
0,4,15,1271,151
1,4,27,1302,5
1,2,34,1066,318
1,3,20,890,89
0,3,21,637,347
1,3,25,27,38
0,1,8,640,104
0,4,15,640,296
0,4,13,637,5
0,2,23,640,104
1,3,24,980,204
0,3,24,640,104
0,4,24,640,139
1,1,10,300,38
0,3,13,637,68
1,1,15,450,5
1,4,24,866,130
1,4,28,249,38
1,1,27,847,358
1,3,24,529,130
1,4,24,559,289
0,3,35,1168,260
1,2,37,847,358
0,1,23,640,38
0,1,19,640,296
1,4,23,449,88
1,3,24,450,37
1,3,25,8,289
0,1,10,640,5
0,1,19,640,265
0,4,14,640,111
0,2,11,640,5
0,1,3,640,296
1,3,15,696,25
1,1,13,1077,38
1,3,29,871,289
1,3,26,1116,320
0,3,26,640,104
1,3,24,878,358
1,3,24,847,5
1,4,23,179,130
1,4,25,975,318
1,3,29,1066,289
1,4,13,1066,320
1,4,24,249,38
0,1,8,640,38
0,5,24,640,41
0,1,24,640,86
1,3,19,847,38
0,3,13,637,167
0,3,17,1271,262
1,3,25,1170,353
0,2,10,640,104
0,2,7,640,38
1,4,23,983,5
1,4,24,1066,320
1,1,26,27,353
1,3,25,847,5
1,3,14,956,25
0,1,14,640,291
0,3,23,640,38
0,4,24,640,296
1,4,25,1138,239
0,4,13,637,220
1,4,23,1291,320
1,1,13,763,318
0,3,13,1251,205
1,4,23,307,226
0,5,9,632,63
1,4,25,450,36
1,1,13,115,239
0,1,16,640,38
0,1,23,640,5
1,4,25,407,280
0,4,15,640,111
1,3,30,559,226
1,4,23,372,289
1,4,19,45,38
1,3,23,847,5
1,3,28,1170,130
0,2,9,640,320
1,4,13,847,36
0,5,9,640,111
0,1,9,640,139
0,5,7,640,5
1,3,26,1066,38
1,4,23,847,38
1,4,30,1221,329
0,3,19,640,216
0,4,22,640,5
1,4,24,1173,320
0,4,13,640,5
0,3,15,640,111
1,3,29,171,10
1,4,23,55,324
1,1,23,559,226
1,3,28,720,128
1,3,23,847,289
1,4,13,1033,330
1,4,24,585,38
1,1,13,847,166
0,4,13,640,167
1,2,13,696,36
0,1,11,640,291
1,1,23,61,318
0,2,9,632,111
0,5,9,640,111
1,4,19,87,351
1,2,37,450,274
1,4,13,847,358
1,4,26,125,307
0,3,24,1251,211
1,3,26,31,38
1,3,25,407,329
1,3,25,1308,252
0,4,13,640,104
0,1,24,640,296
1,1,23,450,353
1,1,11,696,88
0,2,13,640,38
0,2,10,640,5
0,5,11,640,104
0,1,24,640,216
1,4,23,847,38
0,5,1,640,167
1,3,21,234,178
0,3,13,637,220
0,2,13,640,150
0,4,13,922,14
1,4,23,890,150
0,4,13,640,68
0,4,14,640,295
0,4,29,640,139
1,3,28,1000,5
1,4,23,73,349
1,4,26,919,38
1,4,19,1066,38
1,3,26,1319,318
0,2,24,637,216
1,2,32,450,358
0,3,37,640,216
0,1,18,640,296
1,2,23,847,5
1,4,11,696,252
0,2,14,640,5
1,3,33,1170,307
1,4,25,1191,289
1,3,17,862,38
1,3,23,450,25
0,1,9,640,111
1,4,26,407,353
1,4,25,1365,36
1,3,24,1369,272
0,4,13,640,149
1,2,17,74,349
1,2,17,1066,38
1,4,23,696,5
0,1,9,640,296
1,4,25,1066,98
1,3,23,112,98
1,1,24,1236,329
0,2,11,1251,260
0,3,27,1251,260
1,4,23,1255,38
1,4,18,1066,130
0,3,13,640,216
0,2,24,640,167
0,3,14,640,318
0,4,18,637,5
0,3,13,640,104
1,4,23,811,353
1,4,27,847,274
0,2,11,640,104
1,4,25,407,98
0,4,23,640,296
1,4,19,70,88
1,3,26,1158,38
1,4,13,469,138
1,3,24,1213,226
0,4,28,632,5
0,4,24,640,296
1,4,25,1066,250
0,1,17,640,139
0,1,17,640,41
0,4,30,640,5
0,2,9,640,5
1,1,12,74,307
0,1,11,640,318
0,2,11,640,68
0,3,14,632,63
0,2,15,640,111
1,3,25,1232,274
1,4,29,549,128
1,4,25,249,314
0,1,2,640,296
1,3,24,847,38
0,3,13,640,38
1,3,24,1170,307
1,3,17,559,330
0,1,9,640,104
0,4,25,640,296
1,3,20,1018,289
1,3,23,1066,98
1,2,14,1082,274
1,4,14,437,130
1,3,20,764,329
1,2,28,450,88
1,3,19,101,274
0,4,13,640,38
1,2,25,450,307
0,3,24,640,220
1,3,32,1147,274
0,2,24,640,41
1,4,24,368,114
0,4,25,639,38
0,4,13,640,220
1,4,20,847,38
1,4,28,1066,274
1,2,11,112,307
0,5,8,640,104
1,4,26,1081,130
1,4,25,962,318
1,3,26,450,274
1,1,26,1136,166
1,1,26,307,130
1,4,25,450,226
1,3,23,450,88
0,5,10,640,216
1,3,24,450,36
1,4,24,683,5
0,1,8,640,296
1,3,26,450,289
1,3,24,449,25
1,4,23,1191,185
1,4,28,450,307
1,3,19,1005,130
1,4,13,1378,307
1,4,13,307,307
0,4,13,640,296
0,1,25,640,86
0,1,10,640,324
0,4,16,640,41
1,3,24,375,307
1,3,23,287,307
0,5,8,1251,260
1,4,24,110,25
1,3,34,847,5
1,3,20,1066,38
0,4,13,640,104
1,3,13,701,307
0,1,10,640,291
0,2,9,640,38
0,4,13,640,320
1,3,26,1066,38
1,4,13,125,130
1,2,13,774,318
0,1,11,1250,260
1,3,24,678,243
1,2,17,407,353
1,3,23,936,36
1,3,15,64,259
1,4,25,74,38
1,2,24,1066,41
1,1,40,1040,353
1,1,11,1066,336
1,4,24,1066,38
0,3,29,640,111
1,4,28,1066,98
1,4,33,1066,88
1,4,23,1066,274
0,5,7,640,318
0,4,11,637,295
1,3,27,847,5
0,4,27,640,63
1,4,30,166,307
1,4,22,47,86
1,4,24,847,38
0,3,23,637,68
0,4,13,640,111
1,4,24,1318,318
0,4,23,640,41
1,4,23,1066,250
1,3,24,899,329
0,3,14,945,63
1,4,27,450,274
0,4,18,640,111
0,3,13,640,5
0,1,23,640,306
0,4,17,640,5
1,2,26,695,114
0,4,23,640,86
0,2,14,1251,260
1,4,13,463,155
1,4,24,1066,185
0,5,7,640,104
0,2,8,640,216
1,2,24,416,103
0,3,17,640,104
1,3,26,933,31
0,2,11,640,38
0,4,24,640,5
1,4,24,156,307
1,3,29,1066,86
1,3,23,847,5
1,4,30,847,38
1,1,23,1042,353
1,2,24,407,364
1,3,27,1066,276
0,1,14,637,204
1,4,13,847,165
1,2,23,1117,320
0,3,25,632,111
1,4,25,962,319
1,3,24,847,5
1,1,25,1066,130
0,3,13,1251,211
1,1,5,1066,324
1,4,24,1066,41
0,3,14,1271,260
1,2,37,811,329
1,3,23,1040,334
1,1,21,560,252
0,2,1,640,5
0,1,2,1251,260
0,3,13,640,104
1,3,30,847,38
1,4,24,1066,98
1,3,24,307,239
1,3,23,214,114
1,1,34,847,358
1,3,28,1262,259
1,2,29,1066,178
1,4,14,61,252
1,4,23,27,330
1,4,23,450,5
1,3,23,787,98
1,3,18,696,36
1,3,26,281,284
1,2,16,1066,41
0,3,15,640,41
1,4,21,1255,38
1,3,13,1202,252
1,2,11,1066,329
0,4,13,640,291
0,1,23,640,291
1,1,16,45,38
0,1,9,640,296
1,4,16,1066,38
0,4,13,640,291
1,3,29,980,273
1,2,25,449,178
1,3,27,1066,38
0,3,32,640,220
0,2,13,640,5
1,2,26,433,329
1,4,13,847,5
0,1,10,640,63
1,1,16,1066,5
0,1,21,640,104
0,1,11,640,320
1,3,23,559,36
1,3,24,1291,165
0,1,23,640,211
1,4,23,214,226
0,4,13,640,111
1,3,24,1177,130
1,3,31,879,226
1,4,33,847,289
0,4,17,640,139
0,5,9,640,5
0,4,13,640,296
1,2,17,61,316
1,3,11,1066,185
1,4,16,450,252
0,2,23,640,104
0,2,23,640,220
1,4,24,1116,38
1,4,23,774,318
1,3,32,1065,98
1,3,23,1014,88
1,4,40,1221,130
0,4,32,640,216
1,4,23,1066,289
1,4,18,847,5
0,1,9,640,296
1,3,27,10,318
1,1,13,847,114
1,4,21,167,289
0,3,30,640,104
0,3,28,637,220
1,3,14,61,358
0,4,14,640,5
0,1,24,640,104
1,3,25,626,320
0,4,13,637,5
0,1,23,640,5
0,2,9,640,167
0,4,13,640,38
1,3,25,1095,289
0,2,9,637,111
1,3,25,1066,289
1,1,30,450,307
0,1,9,640,332
0,4,18,640,220
1,3,16,1066,250
0,1,13,640,327
0,3,13,640,5
0,5,10,640,104
1,4,25,696,36
1,4,24,176,330
1,4,24,1336,41
0,3,14,640,38
0,3,15,640,14
1,2,19,45,318
1,2,16,1066,320
0,4,15,640,38
1,4,31,1236,353
0,1,24,640,216
1,3,13,696,226
1,4,24,1005,274
0,4,13,637,38
1,3,23,396,88
1,1,30,547,226
1,3,24,1066,274
1,3,13,847,5
0,4,25,640,5
1,3,24,747,191
1,3,24,1066,38
0,4,23,637,38
1,4,25,909,38
1,4,19,1227,89
0,1,34,640,139
1,3,25,1065,250
1,4,19,504,136
0,3,25,640,342
1,3,21,1066,289
0,1,24,640,139
1,3,28,27,320
1,3,23,1005,289
1,4,23,383,318
0,3,29,640,220
1,4,17,450,37
1,2,23,1336,185
1,4,31,55,259
1,3,26,438,166
1,4,19,696,36
0,3,13,637,111
1,4,25,149,289
1,4,13,74,238
0,4,13,636,38
0,2,10,640,111
1,4,28,74,226
1,3,25,962,318
1,4,17,696,114
0,1,8,640,167
1,3,28,125,274
1,2,27,1255,98
1,2,23,1066,289
1,4,28,847,38
1,3,19,1263,252
1,3,24,623,33
1,3,27,450,289
0,1,9,640,111
1,3,33,696,114
1,1,20,450,252
1,4,28,811,130
1,3,28,1066,98
0,3,25,640,220
0,1,8,640,104
1,4,25,961,318
0,1,16,640,111
0,4,13,637,68
1,3,23,972,320
0,4,13,640,324
0,1,9,632,220
0,5,8,640,320
1,2,23,450,307
0,3,25,640,5
1,4,23,450,274
1,3,24,450,130
0,3,28,640,220
1,3,23,307,320
1,1,15,74,238
1,2,13,979,194
0,4,14,632,296
1,1,16,1066,324
0,2,10,640,5
1,4,15,862,38
1,3,32,297,38
1,2,22,450,166
0,1,11,640,5
0,1,6,640,68
1,3,24,847,5
0,3,13,637,167
0,4,23,640,5
1,4,23,847,358
1,1,23,890,38
0,1,8,640,104
1,1,23,473,36
1,4,26,1373,5
0,3,24,632,5
1,4,23,837,329
0,1,13,640,104
1,3,11,450,289
0,1,24,632,104
